price,location,area,bedrooms,bathrooms,purpose,property_type
45000000.0,"DHA Phase 8 - Ex Park View, DHA Phase 8, DHA Defence, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
23500000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
105000000.0,"Bahria Town - Jasmine Block, Bahria Town - Sector C, Bahria Town, Lahore, Punjab",20.0,5.0,7.0,For Sale,House
117500000.0,"DHA Phase 6 - Block H, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
15500000.0,"Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
95000000.0,"DHA Phase 7 - Block Y, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
22500000.0,"Park View City - Tulip Overseas, Park View City, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
21500000.0,"Park View City - Tulip Extension Block, Park View City, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
20000000.0,"Central Park - Block A1, Central Park Housing Scheme, Lahore, Punjab",5.0,4.0,4.0,For Sale,House
24500000.0,"DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,4.0,5.0,For Sale,House
240000000.0,"DHA Phase 6 - Block M, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,6.0,6.0,For Sale,House
